"Character Name","Last Seen","Roles"
"868PABLOW","08/14/2024 15:19:43",""
"ADESUWU","08/14/2024 15:19:32",""
"Anze85","08/14/2024 15:21:54",""
"AthreyLifebane","08/14/2024 15:17:44",""
"AulasCriaAulas","08/14/2024 15:19:54",""
"Beuuus","08/14/2024 15:02:47",""
"CEKPETAHAHACA","08/14/2024 15:05:35",""
"ChepeNoob","08/14/2024 15:15:20",""
"Crema4i20","08/14/2024 15:01:03",""
"DrOsgood","08/14/2024 15:06:42",""
"FrankyMad","08/14/2024 15:15:55",""
"H3sitant","08/14/2024 14:44:12",""
"iAtom","08/14/2024 15:22:53",""
"IChiterI","08/14/2024 15:22:23",""
"integrafairbrock","08/14/2024 15:13:32",""
"Istractuss","08/14/2024 15:05:32",""
"Jaden","08/14/2024 15:18:00",""
"kaynm","08/14/2024 15:22:09",""
"KeKo22","08/14/2024 15:17:11",""
"KiyameSama","08/14/2024 15:15:07",""
"LordDuckHunt","08/14/2024 15:21:52",""
"lredrosel","08/14/2024 15:22:21","Healer Regear"
"M3gafuria","08/14/2024 15:22:49","7 Guild Runners;8 Farmer;9 Crafting Plots"
"OdeioRepolho","08/14/2024 15:21:02",""
"Pipingo","08/14/2024 15:05:24",""
"sbankk","08/14/2024 15:20:22",""
"Scamatico","08/14/2024 15:04:07","6 Recruiter"
"SiirChicle","08/14/2024 15:21:58",""
"SrZevix","08/14/2024 15:12:44",""
"TenkinoTaki","08/14/2024 15:12:04",""
"TheDestroyer300","08/14/2024 15:17:54",""
"Virhex","08/14/2024 15:17:08",""
"VoidSun","08/14/2024 15:10:11",""
"Vuinic","08/14/2024 15:18:57",""
"YBRose","08/14/2024 15:21:53","RDPS Regear;Tank Regear;Support Regear;MDPS Regear;9 Siphon;2 Regear Council;6 Recruiter;Healer Regear;5 Market Sellers;3 Money Refund;2 Council"
"ZettaiXRyouiki","08/14/2024 15:22:35",""
"7LESTAD7","08/14/2024 02:32:24",""
"aahph347","08/11/2024 21:21:51","7 Guild Runners;MDPS Regear;9 Siphon;6 Recruiter;5 Market Sellers"
"Agrok","05/28/2022 05:29:22",""
